id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/189356,Albert,autosklearn,5,0.747412,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:15:17,28837.2,7,1072379225,,0.679687,0.747412,
openml.org/t/189356,Albert,autosklearn,8,0.755012,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:15:38,28855.2,4,1072379228,,0.685683,0.755012,
openml.org/t/189356,Albert,autosklearn,3,0.748616,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:20:56,29143.7,11,1072379223,,0.681121,0.748616,
openml.org/t/189356,Albert,autosklearn,2,,aws.docker,0.5.1,"{'_attempt': 2, '_n_jobs': 4}",stable,2019-04-26T05:42:23,29251.9,,533632966,Error: None,,,
openml.org/t/189356,Albert,autosklearn,1,,aws.docker,0.5.1,"{'_attempt': 2, '_n_jobs': 4}",stable,2019-04-26T05:42:39,29256.4,,533632965,Error: None,,,
openml.org/t/189356,Albert,autosklearn,4,,aws.docker,0.5.1,"{'_attempt': 2, '_n_jobs': 4}",stable,2019-04-26T05:42:21,29243.3,,533632968,Error: None,,,
openml.org/t/189356,Albert,autosklearn,6,,aws.docker,0.5.1,"{'_attempt': 2, '_n_jobs': 4}",stable,2019-04-26T05:42:38,29248.9,,533632970,Error: None,,,
openml.org/t/189356,Albert,autosklearn,7,,aws.docker,0.5.1,"{'_attempt': 2, '_n_jobs': 4}",stable,2019-04-26T05:42:52,29244.1,,533632971,Error: None,,,
openml.org/t/189356,Albert,autosklearn,9,0.739485,aws.docker,0.5.1,"{'_attempt': 2, '_n_jobs': 4}",stable,2019-04-26T05:47:25,29050.4,5,533632973,,0.674772,0.739485,
openml.org/t/189356,Albert,autosklearn,0,0.72902,aws.docker,0.5.1,"{'_attempt': 2, '_n_jobs': 4}",stable,2019-04-26T05:49:54,29171.4,6,533632964,,0.66901,0.72902,
openml.org/t/189354,Airlines,autosklearn,7,0.72073,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:09:53,28830.5,8,788461471,,0.668193,0.72073,
openml.org/t/189354,Airlines,autosklearn,0,0.728792,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:10:08,28861.0,13,788461464,,0.670758,0.728792,
openml.org/t/189354,Airlines,autosklearn,2,0.723234,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:10:33,28887.5,9,788461466,,0.668922,0.723234,
openml.org/t/189354,Airlines,autosklearn,9,0.728368,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:10:39,28828.2,8,788461473,,0.675275,0.728368,
openml.org/t/189354,Airlines,autosklearn,3,0.725435,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:09:50,28829.2,12,788461467,,0.668861,0.725435,
openml.org/t/189354,Airlines,autosklearn,6,0.725279,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:10:37,28841.4,9,788461470,,0.670214,0.725279,
openml.org/t/189354,Airlines,autosklearn,4,0.72328,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:10:27,28815.1,13,788461468,,0.666821,0.72328,
openml.org/t/189354,Airlines,autosklearn,5,0.720539,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:10:53,28869.0,14,788461469,,0.666543,0.720539,
openml.org/t/189354,Airlines,autosklearn,8,0.723525,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:10:47,28832.9,11,788461472,,0.668582,0.723525,
openml.org/t/189354,Airlines,autosklearn,1,0.726875,aws.docker,0.5.1,"{'_attempt': 2, '_n_jobs': 4}",stable,2019-04-26T05:33:48,28953.6,14,1049645663,,0.671017,0.726875,
openml.org/t/7593,Covertype,autosklearn,2,0.0992331,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:14:10,29018.2,3,1072379222,,0.964441,,0.0992331
openml.org/t/7593,Covertype,autosklearn,9,0.103974,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:14:36,29051.3,2,1072379229,,0.958899,,0.103974
openml.org/t/7593,Covertype,autosklearn,3,0.0815467,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:14:33,29060.6,3,1072379223,,0.971326,,0.0815467
openml.org/t/7593,Covertype,autosklearn,1,0.113201,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:15:23,29131.5,5,1072379221,,0.969984,,0.113201
openml.org/t/7593,Covertype,autosklearn,4,0.119775,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:16:12,29168.0,2,1072379224,,0.964992,,0.119775
openml.org/t/7593,Covertype,autosklearn,0,0.113476,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:17:07,29261.5,2,1072379220,,0.967247,,0.113476
openml.org/t/7593,Covertype,autosklearn,7,0.113486,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:18:15,29294.2,2,1072379227,,0.968658,,0.113486
openml.org/t/7593,Covertype,autosklearn,6,0.0919487,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:18:31,29293.1,3,1072379226,,0.969691,,0.0919487
openml.org/t/7593,Covertype,autosklearn,8,0.119525,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:18:56,29325.0,2,1072379228,,0.965388,,0.119525
openml.org/t/7593,Covertype,autosklearn,5,0.0852899,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:19:45,29320.6,3,1072379225,,0.966954,,0.0852899
openml.org/t/189355,Dionis,autosklearn,2,2.09644,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:11:16,28786.7,1,788461466,,0.530935,,2.09644
openml.org/t/189355,Dionis,autosklearn,0,2.37959,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:11:07,28787.9,1,788461464,,0.737932,,2.37959
openml.org/t/189355,Dionis,autosklearn,3,2.78803,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:11:25,28791.9,1,788461467,,0.726591,,2.78803
openml.org/t/189355,Dionis,autosklearn,1,2.64809,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:11:17,28787.3,1,788461465,,0.692136,,2.64809
openml.org/t/189355,Dionis,autosklearn,4,4.69984,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:11:26,28786.9,1,788461468,,0.0411831,,4.69984
openml.org/t/189355,Dionis,autosklearn,5,4.69054,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:11:40,28787.6,1,788461469,,0.0419039,,4.69054
openml.org/t/189355,Dionis,autosklearn,7,5.08893,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:11:53,28787.7,1,788461471,,0.0212643,,5.08893
openml.org/t/189355,Dionis,autosklearn,9,5.86398,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:11:41,28788.5,1,788461473,,0.04796,,5.86398
openml.org/t/189355,Dionis,autosklearn,8,5.87212,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:11:50,28787.3,1,788461472,,0.00458936,,5.87212
openml.org/t/189355,Dionis,autosklearn,6,5.07184,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:11:26,28788.5,1,788461470,,0.0221053,,5.07184
openml.org/t/189354,Airlines,H2OAutoML,2,0.731722,aws.docker,3.24.0.1,,stable,2019-04-18T03:33:54,26079.8,82,2720569640,,0.600345,0.731722,
openml.org/t/189354,Airlines,H2OAutoML,0,0.733466,aws.docker,3.24.0.1,,stable,2019-04-18T03:34:43,26160.2,76,2720569638,,0.628117,0.733466,
openml.org/t/189354,Airlines,H2OAutoML,5,0.728769,aws.docker,3.24.0.1,,stable,2019-04-18T03:34:59,26120.1,87,2720569643,,0.595702,0.728769,
openml.org/t/189354,Airlines,H2OAutoML,3,0.73279,aws.docker,3.24.0.1,,stable,2019-04-18T03:36:26,26235.0,93,2720569641,,0.617246,0.73279,
openml.org/t/189354,Airlines,H2OAutoML,7,0.730912,aws.docker,3.24.0.1,,stable,2019-04-18T03:38:13,26306.0,79,2720569645,,0.60208,0.730912,
openml.org/t/189354,Airlines,H2OAutoML,4,0.730001,aws.docker,3.24.0.1,,stable,2019-04-18T03:39:03,26362.5,91,2720569642,,0.61884,0.730001,
openml.org/t/189354,Airlines,H2OAutoML,1,0.733404,aws.docker,3.24.0.1,,stable,2019-04-18T03:40:24,26458.9,78,2720569639,,0.608558,0.733404,
openml.org/t/189354,Airlines,H2OAutoML,9,0.734383,aws.docker,3.24.0.1,,stable,2019-04-18T03:40:38,26461.2,78,2720569647,,0.60996,0.734383,
openml.org/t/189354,Airlines,H2OAutoML,8,0.731071,aws.docker,3.24.0.1,,stable,2019-04-18T03:41:31,26519.6,75,2720569646,,0.619378,0.731071,
openml.org/t/189354,Airlines,H2OAutoML,6,0.729655,aws.docker,3.24.0.1,,stable,2019-04-18T03:42:06,26559.4,67,2720569644,,0.615892,0.729655,
openml.org/t/189356,Albert,H2OAutoML,8,0.764131,aws.docker,3.24.0.1,{'_nthreads': 4},stable,2019-04-18T21:11:18,28906.3,12,4164966101,,0.666118,0.764131,
openml.org/t/189356,Albert,H2OAutoML,7,0.770063,aws.docker,3.24.0.1,{'_nthreads': 4},stable,2019-04-18T21:11:22,28907.1,12,4164966100,,0.670868,0.770063,
openml.org/t/189356,Albert,H2OAutoML,4,0.768702,aws.docker,3.24.0.1,{'_nthreads': 4},stable,2019-04-18T22:09:06,32039.9,13,4164966097,,0.671856,0.768702,
openml.org/t/189356,Albert,H2OAutoML,9,0.763298,aws.docker,3.24.0.1,{'_nthreads': 4},stable,2019-04-18T22:09:12,32038.9,13,4164966102,,0.667012,0.763298,
openml.org/t/189356,Albert,H2OAutoML,0,0.765316,aws.docker,3.24.0.1,{'_nthreads': 4},stable,2019-04-18T22:10:08,32115.3,13,4164966093,,0.668963,0.765316,
openml.org/t/189356,Albert,H2OAutoML,3,0.763396,aws.docker,3.24.0.1,{'_nthreads': 4},stable,2019-04-18T22:09:18,32032.5,13,4164966096,,0.667364,0.763396,
openml.org/t/189356,Albert,H2OAutoML,6,0.763271,aws.docker,3.24.0.1,{'_nthreads': 4},stable,2019-04-18T22:10:04,32063.2,13,4164966099,,0.666612,0.763271,
openml.org/t/189356,Albert,H2OAutoML,2,0.767405,aws.docker,3.24.0.1,{'_nthreads': 4},stable,2019-04-18T22:09:57,32092.3,13,4164966095,,0.66633,0.767405,
openml.org/t/189356,Albert,H2OAutoML,1,0.765101,aws.docker,3.24.0.1,"{'_attempt': 2, '_nthreads': 4}",stable,2019-04-26T06:47:03,32154.9,13,39015092,,0.669881,0.765101,
openml.org/t/189356,Albert,H2OAutoML,5,,aws.docker,3.24.0.1,"{'_attempt': 2, '_nthreads': 4}",stable,2019-04-27T01:39:23,24487.1,,1631211227,Error: Local server has died unexpectedly. RIP.,,,
openml.org/t/7593,Covertype,H2OAutoML,0,0.156644,aws.docker,3.24.0.1,,stable,2019-04-18T16:02:58,29697.5,4,2720569638,,0.946439,,0.156644
openml.org/t/7593,Covertype,H2OAutoML,1,0.207604,aws.docker,3.24.0.1,,stable,2019-04-18T16:40:40,28807.5,1,2720569639,,0.930261,,0.207604
openml.org/t/7593,Covertype,H2OAutoML,2,0.161433,aws.docker,3.24.0.1,,stable,2019-04-18T17:49:14,29746.5,4,2720569640,,0.948004,,0.161433
openml.org/t/7593,Covertype,H2OAutoML,4,0.153739,aws.docker,3.24.0.1,,stable,2019-04-18T18:27:37,29640.5,4,2720569642,,0.947677,,0.153739
openml.org/t/7593,Covertype,H2OAutoML,3,0.155285,aws.docker,3.24.0.1,,stable,2019-04-18T18:28:36,29711.0,4,2720569641,,0.946128,,0.155285
openml.org/t/7593,Covertype,H2OAutoML,5,0.158482,aws.docker,3.24.0.1,,stable,2019-04-18T18:29:22,29683.5,4,2720569643,,0.946094,,0.158482
openml.org/t/7593,Covertype,H2OAutoML,6,0.156223,aws.docker,3.24.0.1,,stable,2019-04-18T19:09:58,29707.2,4,2720569644,,0.94754,,0.156223
openml.org/t/7593,Covertype,H2OAutoML,7,0.153498,aws.docker,3.24.0.1,,stable,2019-04-18T20:08:13,29689.3,4,2720569645,,0.94704,,0.153498
