id,task,framework,fold,result,mode,version,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/7592,adult,autosklearn,0,0.931288,aws.docker,0.5.0,stable,2019-03-03T15:24:38,3596.8,15,578519140,,0.875537,0.931288,
openml.org/t/7592,adult,autosklearn,1,0.925882,aws.docker,0.5.0,stable,2019-03-03T15:25:09,3597.3,6,578519140,,0.869806,0.925882,
openml.org/t/7592,adult,autosklearn,2,0.928267,aws.docker,0.5.0,stable,2019-03-03T15:25:11,3596.0,7,578519140,,0.865479,0.928267,
openml.org/t/7592,adult,autosklearn,3,0.923106,aws.docker,0.5.0,stable,2019-03-03T15:25:22,3596.9,12,578519140,,0.861998,0.923106,
openml.org/t/7592,adult,autosklearn,4,0.92476,aws.docker,0.5.0,stable,2019-03-03T15:25:23,3597.0,10,578519140,,0.858722,0.92476,
openml.org/t/7592,adult,autosklearn,6,0.92992,aws.docker,0.5.0,stable,2019-03-03T15:25:50,3597.3,11,578519140,,0.862408,0.92992,
openml.org/t/7592,adult,autosklearn,5,0.922759,aws.docker,0.5.0,stable,2019-03-03T15:25:44,3598.3,9,578519140,,0.872236,0.922759,
openml.org/t/7592,adult,autosklearn,7,0.93183,aws.docker,0.5.0,stable,2019-03-03T15:25:51,3596.5,11,578519140,,0.872236,0.93183,
openml.org/t/7592,adult,autosklearn,8,0.937217,aws.docker,0.5.0,stable,2019-03-03T15:26:07,3595.5,9,578519140,,0.882473,0.937217,
openml.org/t/7592,adult,autosklearn,9,0.931097,aws.docker,0.5.0,stable,2019-03-03T15:26:22,3597.1,8,578519140,,0.875102,0.931097,
openml.org/t/146195,connect-4,autosklearn,0,0.449205,aws.docker,0.5.0,stable,2019-03-03T16:28:20,3617.5,4,578519140,,0.836294,,0.449205
openml.org/t/146195,connect-4,autosklearn,1,0.474061,aws.docker,0.5.0,stable,2019-03-03T16:28:37,3598.8,5,578519140,,0.819272,,0.474061
openml.org/t/146195,connect-4,autosklearn,3,0.573838,aws.docker,0.5.0,stable,2019-03-03T16:28:47,3601.2,3,578519140,,0.773239,,0.573838
openml.org/t/146195,connect-4,autosklearn,4,0.476625,aws.docker,0.5.0,stable,2019-03-03T16:28:56,3600.6,4,578519140,,0.8209,,0.476625
