id,task,framework,fold,result,mode,version,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/7592,adult,RandomForest,0,0.911293,aws.docker,0.19.2,stable,2019-03-03T02:51:27,29.2,2000,3730448835,,0.864278,0.911293,
openml.org/t/7592,adult,RandomForest,3,0.907411,aws.docker,0.19.2,stable,2019-03-03T02:53:12,28.9,2000,3730448835,,0.851351,0.907411,
openml.org/t/7592,adult,RandomForest,2,0.9086,aws.docker,0.19.2,stable,2019-03-03T02:53:08,28.8,2000,3730448835,,0.859541,0.9086,
openml.org/t/7592,adult,RandomForest,5,0.907002,aws.docker,0.19.2,stable,2019-03-03T02:53:14,28.8,2000,3730448835,,0.858722,0.907002,
openml.org/t/7592,adult,RandomForest,4,0.907326,aws.docker,0.19.2,stable,2019-03-03T02:53:12,28.9,2000,3730448835,,0.860565,0.907326,
openml.org/t/7592,adult,RandomForest,1,0.904583,aws.docker,0.19.2,stable,2019-03-03T02:53:09,28.9,2000,3730448835,,0.854862,0.904583,
openml.org/t/7592,adult,RandomForest,6,0.904767,aws.docker,0.19.2,stable,2019-03-03T02:53:32,28.9,2000,3730448835,,0.855242,0.904767,
openml.org/t/7592,adult,RandomForest,7,0.911983,aws.docker,0.19.2,stable,2019-03-03T02:53:33,28.9,2000,3730448835,,0.860565,0.911983,
openml.org/t/7592,adult,RandomForest,8,0.917264,aws.docker,0.19.2,stable,2019-03-03T02:53:51,29.0,2000,3730448835,,0.862613,0.917264,
openml.org/t/7592,adult,RandomForest,9,0.91202,aws.docker,0.19.2,stable,2019-03-03T02:54:00,28.9,2000,3730448835,,0.859132,0.91202,
openml.org/t/146195,connect-4,RandomForest,0,0.493628,aws.docker,0.19.2,stable,2019-03-03T02:55:35,45.4,2000,3730448835,,0.818236,,0.493628
openml.org/t/146195,connect-4,RandomForest,1,0.498917,aws.docker,0.19.2,stable,2019-03-03T02:56:56,42.1,2000,3730448835,,0.816015,,0.498917
openml.org/t/146195,connect-4,RandomForest,3,0.496201,aws.docker,0.19.2,stable,2019-03-03T02:57:12,43.9,2000,3730448835,,0.819716,,0.496201
openml.org/t/146195,connect-4,RandomForest,4,0.490615,aws.docker,0.19.2,stable,2019-03-03T02:57:14,43.5,2000,3730448835,,0.822084,,0.490615
openml.org/t/146195,connect-4,RandomForest,2,0.486334,aws.docker,0.19.2,stable,2019-03-03T02:57:08,43.5,2000,3730448835,,0.822676,,0.486334
openml.org/t/146195,connect-4,RandomForest,5,0.493721,aws.docker,0.19.2,stable,2019-03-03T02:57:25,47.0,2000,3730448835,,0.817792,,0.493721
openml.org/t/146195,connect-4,RandomForest,6,0.500432,aws.docker,0.19.2,stable,2019-03-03T02:57:30,43.9,2000,3730448835,,0.815571,,0.500432
openml.org/t/146195,connect-4,RandomForest,7,0.491131,aws.docker,0.19.2,stable,2019-03-03T02:57:37,44.3,2000,3730448835,,0.824278,,0.491131
