id,task,framework,fold,result,mode,version,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/168760,fabert,autosklearn,0,,aws,0.5.0,stable,2019-02-20T23:51:14,3623.8,,1288902315,Error: Expecting ':' delimiter: line 1 column 77098 (char 77097),,,
openml.org/t/168760,fabert,autosklearn,2,0.769287,aws,0.5.0,stable,2019-02-20T23:51:33,3596.4,4,1288902315,,0.701456,,0.769287
openml.org/t/168760,fabert,autosklearn,1,0.78538,aws,0.5.0,stable,2019-02-20T23:51:28,3596.4,5,1288902315,,0.734223,,0.78538
openml.org/t/168760,fabert,autosklearn,6,0.792214,aws,0.5.0,stable,2019-02-20T23:51:50,3596.5,6,1288902315,,0.700243,,0.792214
openml.org/t/168760,fabert,autosklearn,5,0.770183,aws,0.5.0,stable,2019-02-20T23:51:49,3596.7,5,1288902315,,0.720874,,0.770183
openml.org/t/168760,fabert,autosklearn,3,0.822246,aws,0.5.0,stable,2019-02-20T23:51:41,3597.0,5,1288902315,,0.696602,,0.822246
openml.org/t/168760,fabert,autosklearn,7,0.766444,aws,0.5.0,stable,2019-02-20T23:51:56,3597.3,5,1288902315,,0.710814,,0.766444
openml.org/t/168760,fabert,autosklearn,4,0.803874,aws,0.5.0,stable,2019-02-20T23:51:51,3597.2,7,1288902315,,0.717233,,0.803874
openml.org/t/168760,fabert,autosklearn,8,0.83762,aws,0.5.0,stable,2019-02-20T23:52:05,3596.9,5,1288902315,,0.682868,,0.83762
openml.org/t/168760,fabert,autosklearn,9,0.846083,aws,0.5.0,stable,2019-02-20T23:52:06,3596.5,5,1288902315,,0.681652,,0.846083
openml.org/t/168764,jasmine,autosklearn,0,0.87557,aws,0.5.0,stable,2019-02-20T23:51:52,3597.2,11,1288902315,,0.822742,0.87557,0.40741
openml.org/t/168764,jasmine,autosklearn,1,0.911499,aws,0.5.0,stable,2019-02-20T23:51:56,3599.1,12,1288902315,,0.842809,0.911499,0.437407
openml.org/t/168764,jasmine,autosklearn,2,0.896331,aws,0.5.0,stable,2019-02-20T23:51:57,3595.4,5,1288902315,,0.849498,0.896331,0.386984
openml.org/t/168764,jasmine,autosklearn,4,0.873159,aws,0.5.0,stable,2019-02-20T23:52:07,3596.6,14,1288902315,,0.798658,0.873159,0.437918
openml.org/t/168764,jasmine,autosklearn,3,0.861387,aws,0.5.0,stable,2019-02-20T23:52:19,3596.2,17,1288902315,,0.842809,0.861387,0.418317
openml.org/t/168764,jasmine,autosklearn,5,0.844692,aws,0.5.0,stable,2019-02-21T00:55:54,3595.7,7,1288902315,,0.5,0.844692,0.641927
openml.org/t/168764,jasmine,autosklearn,7,0.812216,aws,0.5.0,stable,2019-02-21T00:56:13,3594.8,4,1288902315,,0.775168,0.812216,0.472079
openml.org/t/168764,jasmine,autosklearn,6,0.864736,aws,0.5.0,stable,2019-02-21T00:56:10,3595.8,5,1288902315,,0.795302,0.864736,0.423652
openml.org/t/168764,jasmine,autosklearn,8,0.882708,aws,0.5.0,stable,2019-02-21T00:56:24,3594.7,5,1288902315,,0.828859,0.882708,0.68033
openml.org/t/168764,jasmine,autosklearn,9,0.862213,aws,0.5.0,stable,2019-02-21T00:56:22,3595.1,6,1288902315,,0.822148,0.862213,0.427899
openml.org/t/168764,jasmine,H2OAutoML,1,0.898881,aws,3.22.1.2,stable,2019-02-21T01:48:56,2712.9,54,4034590229,,0.812709,0.898881,0.383154
openml.org/t/168764,jasmine,H2OAutoML,4,0.882663,aws,3.22.1.2,stable,2019-02-21T01:49:12,2721.7,57,4034590229,,0.791946,0.882663,0.418195
openml.org/t/168764,jasmine,H2OAutoML,2,0.925772,aws,3.22.1.2,stable,2019-02-21T01:49:13,2726.4,56,4034590229,,0.842809,0.925772,0.326977
openml.org/t/168764,jasmine,H2OAutoML,3,0.857494,aws,3.22.1.2,stable,2019-02-21T01:49:57,2768.7,61,4034590229,,0.809365,0.857494,0.42037
openml.org/t/168764,jasmine,H2OAutoML,0,0.877852,aws,3.22.1.2,stable,2019-02-21T01:49:36,2748.8,58,4034590229,,0.80602,0.877852,0.399435
