type,task,autosklearn,autoweka,constantpredictor,h2oautoml,randomforest,tpot,tunedrandomforest
binary,adult,10,nan,1,74,2000,388,2000
binary,amazon_employee_access,10,nan,1,79,2000,524,2000
binary,apsfailure,9,nan,1,25,2000,81,2000
binary,australian,11,nan,1,86,2000,12789,2000
binary,bank-marketing,12,nan,1,72,2000,368,2000
binary,blood-transfusion,15,nan,1,61,2000,16698,2000
binary,christine,11,nan,1,36,2000,107,2000
binary,credit-g,17,nan,1,80,2000,8151,2000
binary,guiellermo,7,nan,1,6,2000,79,2000
binary,higgs,6,nan,1,36,2000,127,2000
binary,jasmine,11,nan,1,59,2000,670,2000
binary,kc1,17 (1),nan,1,68,2000,2943,2000
binary,kddcup09_appetency,11,nan (6),1,30,2000,103 (1),2000
binary,kr-vs-kp,16,nan,1,178,2000,2076,2000
binary,miniboone,10,nan,1,24,2000,97,2000
binary,nomao,13,nan,1,28,2000,177,2000
binary,numerai28.6,9,nan,1,38,2000,159,2000
binary,phoneme,10,nan,1,358,2000,1591,2000
binary,riccardo,12,nan,1,4,2000,74,2000
binary,sylvine,10,nan,1,218,2000,1235,2000
multiclass,car,2,nan,1,321,2000,3741,2000
multiclass,cnae-9,6,nan,1,66,2000,371,2000
multiclass,connect-4,5,nan,1,5,2000,167,2000
multiclass,dilbert,3,nan,1,4,2000,108,2000
multiclass,fabert,7,nan,1,17,2000,134,2000
multiclass,fashion-mnist,5,nan,1,1,2000,45,2000
multiclass,helena,1,nan (1),1,1 (5),500,62,500
multiclass,jannis,5,nan,1,18,2000,110,2000
multiclass,jungle_chess_2pcs_raw_endgame_complete,5,nan,1,43,2000,429,2000
multiclass,mfeat-factors,8,nan,1,46,2000,375,2000
multiclass,robert,1,nan,1,2,2000,43,2000
multiclass,segment,6,nan,1,105,2000,1455,2000
multiclass,shuttle,2,nan,1,41,2000,303,2000
multiclass,vehicle,8,nan,1,118,2000,1885,2000
multiclass,volkert,3,nan,1,4,2000,76,2000
