type,task,autosklearn,autoweka,constantpredictor,h2oautoml,randomforest,tpot,tunedrandomforest
binary,adult,1.04962,0.996697,0,1.04062,1.0004,1.04446,1
binary,amazon_employee_access,0.981295,0.851588,0,1.04574,1.00361,1.01896,1
binary,apsfailure,1.00085,0.946782,0,1.0032,1.0009,0.998993,1
binary,australian,1.00388,0.990382,0,1.01383,1.00648,0.995565,1
binary,bank-marketing,1.01545,0.758891,0,1.01484,1.00034,1.00698,1
binary,blood-transfusion,1.47133,1.36666,0,1.45233,0.980279,1.32492,1
binary,christine,1.06551,0.976335,0,1.05325,0.987479,1.01225,1
binary,credit-g,0.96321,0.85435,0,0.978232,0.998782,0.972788,1
binary,guiellermo,0.996344,0.939054,0,1.01785,0.999715,0.791861,1
binary,higgs,0.968372,0.584547,0,1.03484,1.00011,0.99545,1
binary,jasmine,0.98701,0.926393,0,0.996402,0.997692,0.98861,1
binary,kc1,1.00257 (1),0.91749,0,0.985099,0.982427,0.997311,1
binary,kddcup09_appetency,1.17208,1.01838 (6),0,1.15931,1.00064,1.11537 (1),1
binary,kr-vs-kp,1.00038,0.952657,0,1.00046,0.999005,1.00008,1
binary,miniboone,1.00793,0.957606,0,1.01019,1.00003,0.999009,1
binary,nomao,1.00172,0.977459,0,1.00174,0.999614,0.998946,1
binary,numerai28.6,1.4825,1.01683,0,1.64359,0.959508,1.24426,1
binary,phoneme,0.993331,0.981205,0,1.00417,0.999324,1.00687,1
binary,riccardo,1.00014,nan,0,1.00024,0.998677,0.984618,1
binary,sylvine,1.01333,0.981416,0,1.01245,0.998613,1.01617,1
multiclass,car,1.04782,0.750796,0,1.05766,0.877753,1.05962,1
multiclass,cnae-9,1.06719,0.686492,0,1.07547,0.998701,1.05357,1
multiclass,connect-4,1.14321,0.281469,0,1.36344,0.954969,1.21373,1
multiclass,dilbert,1.18104,-0.131997,0,1.21611,1.0002,1.08685,1
multiclass,fabert,1.02628,-1.10324,0,1.04845,0.998546,0.980729,1
multiclass,fashion-mnist,1.00406,0.886969,0,1.03472,1.00028,0.850922,1
multiclass,helena,1.20777,-15.2555 (1),0,1.63257 (5),1.016,1.54329,1
multiclass,jannis,1.06069,-13.5381,0,1.1248,1.00098,0.991899,1
multiclass,jungle_chess_2pcs_raw_endgame_complete,1.31485,-1.17047,0,1.34449,0.931852,1.38171,1
multiclass,mfeat-factors,1.04879,0.797295,0,1.04589,0.984319,1.02997,1
multiclass,robert,-0.00056295,nan,0,1.21953,0.999696,-2.85979,1
multiclass,segment,1.00434,0.768533,0,1.01146,0.991656,1.00919,1
multiclass,shuttle,0.999976,0.978058,0,1.00028,0.999749,-4.17583,1
multiclass,vehicle,1.10247,-0.776683,0,1.14648,0.987675,1.07951,1
multiclass,volkert,1.03123,0.8776,0,1.14736,0.99923,0.970456,1
