type,task,autosklearn,autoweka,constantpredictor,h2oautoml,randomforest,tpot,tunedrandomforest
binary,adult,0.929778,0.909376,0.5,0.929627,0.909376,0.929145,0.909374
binary,airlines,0.726142,0.663785,0.5,0.731307,0.660767,0.722753,0.661191
binary,albert,0.748473 (3),nan,0.5,0.76546,0.738157,0.72427,0.738038
binary,amazon_employee_access,0.849397,0.82009,0.5,0.880606,0.864373,0.867528,0.863345
binary,apsfailure,0.991516,0.984233,0.5,0.991971,0.991767,0.991717,0.991535
binary,australian,0.935187,0.937459,0.5,0.935521,0.935661,0.936215,0.93153
binary,bank-marketing,0.936892,0.909199,0.5,0.937055,0.930606,0.934262,0.930764
binary,blood-transfusion,0.763439,0.74187,0.5,0.763949,0.684211,0.707055,0.686948
binary,christine,0.831431,0.808523,0.5,0.824022,0.805635,0.819526,0.809157
binary,credit-g,0.782476,0.743738,0.5,0.78981,0.794357,0.771476,0.793286
binary,guiellermo,0.904756,0.876501,0.5,0.91261,0.902685,0.853564,0.903019
binary,higgs,0.809461,0.756892,0.5,0.815845,0.802877,0.804959,0.803321
binary,jasmine,0.882899,0.865167,0.5,0.889446,0.888236,0.890102,0.888876
binary,kc1,0.838624,0.81835,0.5,0.836824,0.835902,0.84473,0.840509
binary,kddcup09_appetency,0.833509,0.795518,0.5,0.832136,0.787901,0.822915 (1),0.783512
binary,kr-vs-kp,0.999721,0.979159,0.5,0.9998,0.999161,0.999279,0.999695
binary,miniboone,0.985869,0.961459,0.5,0.986735,0.981683,0.982602,0.98208
binary,nomao,0.996105,0.981713,0.5,0.996021,0.994886,0.995618,0.995085
binary,numerai28.6,0.530244,0.527731,0.5,0.531142,0.519734,0.526135,0.519605
binary,phoneme,0.962333,0.964531,0.5,0.967853,0.965306,0.972533,0.965501
binary,riccardo,0.999755,0.998006,0.5,0.999802,0.999013,0.995767,0.999762
binary,sylvine,0.990882,0.976928,0.5,0.989311,0.983396,0.995319,0.983974
multiclass,car,-0.0096304,-0.121513,-0.835786,-0.00056516,-0.143637,-0.000308102,-0.0474046
multiclass,cnae-9,-0.167709,-1.17269,-2.19722,-0.154603,-0.300355,-0.189313,-0.298303
multiclass,connect-4,-0.386572,-1.42718,-0.844561,-0.327095,-0.49408,-0.37557,-0.477167
multiclass,covertype,-0.121061,-1.60474,-1.20516,-0.258179,-0.161368,-0.15777,-0.099454
multiclass,dilbert,-0.0632205,-1.00853,-1.60913,-0.0337618,-0.328198,-0.156378,-0.301215
multiclass,dionis,-3.35914,-3.87874,-5.85739,nan,-1.07764,nan,-1.08693
multiclass,fabert,-0.781212,-7.45422,-1.87471,-0.755712,-0.804605,-0.796353 (1),-0.808165
multiclass,fashion-mnist,-0.357908,-0.902127,-2.30259,-0.245742,-0.361221,-0.700124,-0.348275
multiclass,helena,-3.7401,-15.3885 (1),-4.14341,-2.70241 (1),-3.54993,-2.93333,-3.53106
multiclass,jannis,-0.68522,-1.88477,-1.10867,-0.692747,-0.728168,-0.720886,-0.717758
multiclass,jungle_chess_2pcs_raw_endgame_complete,-0.222718,-2.69463,-0.935131,-0.154277,-0.437981,-0.158176,-0.402314
multiclass,mfeat-factors,-0.0934465,-0.655783,-2.30259,-0.106668,-0.233822,-0.12357,-0.215756
multiclass,robert,-2.30259,nan,-2.30224,-1.35231,-1.68733,-1.90924,-1.68739
multiclass,segment,-0.0629176,-0.427313,-1.94591,-0.0474216,-0.0847243,-0.0545838,-0.0696402
multiclass,shuttle,-0.000394514,-0.0148517,-0.665634,-0.000514177,-0.000775564,-0.000329389,-0.000617414
multiclass,vehicle,-0.379132,-5.55998,-1.38568,-0.336091,-0.497325,-0.396585,-0.484816
multiclass,volkert,-0.924512,-8.32874,-2.0526,-0.801892,-0.979147,-0.9892,-0.926864
