acc,auc,duration,fold,framework,id,info,logloss,mode,models,params,result,seed,tag,task,utc,version,type,score,imp_result,imp_score,norm_score
0.554552,0.5,0,0,constantpredictor,openml.org/t/189354,,,aws.docker,1,{'encode': True},0.5,2.19375e+09,stable,airlines,2019-04-17T20:20:23,0.19.2,binary,0.5,0.5,0.5,0
0.554552,0.5,0,1,constantpredictor,openml.org/t/189354,,,aws.docker,1,{'encode': True},0.5,2.19375e+09,stable,airlines,2019-04-17T20:20:52,0.19.2,binary,0.5,0.5,0.5,0
0.554552,0.5,0,2,constantpredictor,openml.org/t/189354,,,aws.docker,1,{'encode': True},0.5,2.19375e+09,stable,airlines,2019-04-17T20:21:20,0.19.2,binary,0.5,0.5,0.5,0
0.554563,0.5,0,3,constantpredictor,openml.org/t/189354,,,aws.docker,1,{'encode': True},0.5,2.19375e+09,stable,airlines,2019-04-17T20:21:49,0.19.2,binary,0.5,0.5,0.5,0
0.554563,0.5,0,4,constantpredictor,openml.org/t/189354,,,aws.docker,1,{'encode': True},0.5,2.19375e+09,stable,airlines,2019-04-17T20:22:17,0.19.2,binary,0.5,0.5,0.5,0
0.554563,0.5,0,5,constantpredictor,openml.org/t/189354,,,aws.docker,1,{'encode': True},0.5,2.19375e+09,stable,airlines,2019-04-17T20:22:45,0.19.2,binary,0.5,0.5,0.5,0
0.554563,0.5,0,6,constantpredictor,openml.org/t/189354,,,aws.docker,1,{'encode': True},0.5,2.19375e+09,stable,airlines,2019-04-17T20:23:14,0.19.2,binary,0.5,0.5,0.5,0
0.554563,0.5,0,7,constantpredictor,openml.org/t/189354,,,aws.docker,1,{'encode': True},0.5,2.19375e+09,stable,airlines,2019-04-17T20:23:42,0.19.2,binary,0.5,0.5,0.5,0
0.554563,0.5,0,8,constantpredictor,openml.org/t/189354,,,aws.docker,1,{'encode': True},0.5,2.19375e+09,stable,airlines,2019-04-17T20:24:10,0.19.2,binary,0.5,0.5,0.5,0
0.554544,0.5,0,9,constantpredictor,openml.org/t/189354,,,aws.docker,1,{'encode': True},0.5,2.19375e+09,stable,airlines,2019-04-17T20:24:38,0.19.2,binary,0.5,0.5,0.5,0
0.5,0.5,0,0,constantpredictor,openml.org/t/189356,,,aws.docker,1,{'encode': True},0.5,3.55223e+09,stable,albert,2019-04-17T21:02:25,0.19.2,binary,0.5,0.5,0.5,0
0.5,0.5,0,1,constantpredictor,openml.org/t/189356,,,aws.docker,1,{'encode': True},0.5,3.55223e+09,stable,albert,2019-04-17T21:08:06,0.19.2,binary,0.5,0.5,0.5,0
0.5,0.5,0,2,constantpredictor,openml.org/t/189356,,,aws.docker,1,{'encode': True},0.5,3.55223e+09,stable,albert,2019-04-17T21:13:50,0.19.2,binary,0.5,0.5,0.5,0
