type,task,fold,autosklearn,autoweka,constantpredictor,h2oautoml,randomforest,tpot,tunedrandomforest
binary,airlines,0,2.0,4.0,7.0,1.0,6.0,3.0,5.0
binary,airlines,1,2.0,4.0,7.0,1.0,6.0,3.0,5.0
binary,airlines,2,2.0,4.0,7.0,1.0,6.0,3.0,5.0
binary,airlines,3,2.0,4.0,7.0,1.0,6.0,3.0,5.0
binary,airlines,4,2.0,4.0,7.0,1.0,6.0,3.0,5.0
binary,airlines,5,3.0,4.0,7.0,1.0,6.0,2.0,5.0
binary,airlines,6,2.0,4.0,7.0,1.0,6.0,3.0,5.0
binary,airlines,7,3.0,4.0,7.0,1.0,6.0,2.0,5.0
binary,airlines,8,2.0,4.0,7.0,1.0,6.0,3.0,5.0
binary,airlines,9,2.0,4.0,7.0,1.0,6.0,3.0,5.0
binary,albert,0,3.0,,4.0,1.0,2.0,,2.0
binary,albert,1,,,5.0,1.0,4.0,2.0,3.0
binary,albert,2,,,4.0,1.0,2.0,,3.0
binary,albert,3,2.0,,6.0,1.0,4.0,5.0,3.0
binary,albert,4,,,5.0,1.0,3.0,4.0,2.0
binary,albert,5,1.0,,4.0,,3.0,,2.0
binary,albert,6,,,5.0,1.0,3.0,4.0,2.0
binary,albert,7,,,5.0,1.0,2.0,4.0,3.0
binary,albert,8,2.0,,6.0,1.0,5.0,3.0,4.0
binary,albert,9,2.0,,6.0,1.0,5.0,3.0,4.0
multiclass,covertype,0,1.0,7.0,6.0,3.0,4.0,2.0,5.0
multiclass,covertype,1,2.0,7.0,6.0,5.0,4.0,1.0,3.0
multiclass,covertype,2,1.0,7.0,6.0,5.0,3.0,2.0,4.0
multiclass,covertype,3,1.0,7.0,6.0,3.0,4.0,2.0,5.0
multiclass,covertype,4,2.0,7.0,6.0,3.0,4.0,1.0,5.0
multiclass,covertype,5,1.0,7.0,6.0,3.0,5.0,2.0,4.0
multiclass,covertype,6,1.0,7.0,6.0,3.0,5.0,2.0,4.0
multiclass,covertype,7,2.0,7.0,6.0,3.0,4.0,1.0,5.0
multiclass,covertype,8,2.0,7.0,6.0,5.0,4.0,1.0,3.0
multiclass,covertype,9,1.0,7.0,6.0,3.0,4.0,2.0,5.0
multiclass,dionis,0,3.0,4.0,5.0,,2.0,,1.0
multiclass,dionis,1,3.0,4.0,5.0,,2.0,,1.0
multiclass,dionis,2,3.0,4.0,6.0,5.0,2.0,,1.0
multiclass,dionis,3,3.0,4.0,6.0,5.0,2.0,,1.0
multiclass,dionis,4,4.0,3.0,5.0,,2.0,,1.0
multiclass,dionis,5,4.0,3.0,5.0,,2.0,,1.0
multiclass,dionis,6,5.0,3.0,6.0,,2.0,4.0,1.0
multiclass,dionis,7,4.0,3.0,5.0,,2.0,,1.0
multiclass,dionis,8,6.0,3.0,5.0,4.0,2.0,,1.0
multiclass,dionis,9,5.0,3.0,4.0,,2.0,,1.0
