type,task,autosklearn,autoweka,constantpredictor,h2oautoml,oboe,randomforest,tpot,tunedrandomforest
binary,adult,0.928613,0.909844,0.5,0.886492 (1),nan,0.909225,0.92754,0.909365
binary,amazon_employee_access,nan,nan,0.5,nan,nan,0.864768,nan,0.864183
binary,apsfailure,nan,nan,0.5,0.992093,nan,0.990893,nan,0.991131
binary,australian,0.891251 (1),0.927824,0.5,0.940968,0.75775 (3),0.936425,0.927466,0.933607
binary,bank-marketing,nan,nan,0.5,0.937602,nan,0.930727,nan,0.930782
binary,bioresponse,0.874852,0.776805,0.5,0.884855,0.797537,0.880761,0.872357,0.881263
binary,blood-transfusion,0.748125,0.730111,0.5,0.755699,0.593051 (3),0.685707,0.722555,0.686538
binary,christine,0.799141,0.778832,0.5,0.821552,0.737905,0.80517,0.812755,0.805031
binary,credit-g,0.778334,0.753691,0.5,0.794667,0.657143 (1),0.793762,0.775381,0.797238
binary,dresses-sales,0.602052 (1),0.599918,0.5,0.640723,0.539737,0.559277,0.557225,0.55468
binary,guiellermo,nan,nan,0.5,0.883158,nan,0.903046,nan,0.902697
binary,higgs,nan,nan,0.5,0.814916,nan,0.803001,nan,0.8031
binary,internet-advertisements,0.979253,0.964271,0.5,0.981798,0.942078,0.98668,0.98227,0.987318
binary,jasmine,0.868451,0.852023,0.5,0.887012,0.813356,0.889115,0.884868,0.888593
binary,kc1,0.736672 (3),0.8182,0.5,nan,0.6384,0.836617,0.850618,0.840701
binary,kddcup09_appetency,nan,nan,0.5,nan,nan,0.785995,nan,0.785681
binary,kr-vs-kp,0.9998,0.979573,0.5,0.999743,0.996565,0.999125,0.999705,0.999474
binary,miniboone,nan,nan,0.5,0.98659,nan,0.981662,nan,0.98166
binary,nomao,0.995284,0.987493,0.5,0.995783,0.961911,0.994935,0.995388,0.995051
binary,numerai28.6,nan,nan,0.5,0.530659,nan,0.520663,nan,0.520325
binary,phoneme,0.962539,0.959869,0.5,0.965633,0.874726,0.965449,0.964826,0.965213
binary,riccardo,nan,nan,0.5,0.994248,nan,0.999044,nan,0.998994
binary,sylvine,0.989987,0.97674,0.5,0.98884,0.93071,0.983386,0.9898,0.983905
multiclass,car,0.0118228,0.165502,0.835786,0.00651842,0.100171,0.143131,0.00080716,0.0473391
multiclass,cnae-9,0.402911 (1),0.567893,2.19722,0.161331,1.88684,0.300803,0.208385,0.293599
multiclass,connect-4,0.469392,0.740007,0.844561,0.421447,nan,0.49415,0.41634 (1),0.478389
multiclass,dilbert,0.15983,0.460664,1.60913,0.0642616,1.46444,0.328261,nan,0.328466
multiclass,eucalyptus,0.828097 (1),5.33762,1.56804,0.661808,11.5444,0.74866,0.762027,0.708227
multiclass,fabert,0.906758 (1),6.68212,1.87471,0.763071,nan,0.807777,1.05341 (1),0.80338
multiclass,fashion-mnist,nan,nan,2.30259,0.319196,nan,0.361596,nan,0.361161
multiclass,helena,nan,15.4522 (1),4.14341,6.16428,nan,,nan,
multiclass,jannis,0.719817,4.7214,1.10867,0.681538,nan,0.7289,0.74766,0.728787
multiclass,jungle_chess_2pcs_raw_endgame_complete,nan,nan,0.935131,0.161455,nan,0.438142,nan,0.401395
multiclass,mfeat-factors,0.112458,0.47775 (1),2.30259,0.0950742,0.759853,0.233736,0.132211,0.21659
multiclass,micro-mass,0.317656,4.09991,2.9137,0.368454,5.87034,0.627697,0.278201,0.462487
multiclass,robert,nan,nan,2.30224,nan,nan,1.68803,nan,1.68716
multiclass,segment,0.0579329,0.400536,1.94591,0.0451293,0.762545,0.0842156,0.0524374,0.0691235
multiclass,shuttle,nan,nan,0.665634,nan,nan,0.000772762,nan,0.000608811
multiclass,vehicle,0.502033 (1),2.40967,1.38568,0.354704,6.53183 (2),0.496636,0.415336,0.4836
multiclass,volkert,nan,nan,2.0526,nan,nan,0.979046,nan,0.979408
