id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/189356,Albert,autosklearn,0,,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:13:54,29259.3,,1072379220,Error: None,,,
openml.org/t/189356,Albert,autosklearn,1,,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:13:55,29251.3,,1072379221,Error: None,,,
openml.org/t/189356,Albert,autosklearn,4,,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:13:48,29244.9,,1072379224,Error: None,,,
openml.org/t/189356,Albert,autosklearn,9,,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:15:04,29260.6,,1072379229,Error: None,,,
openml.org/t/189356,Albert,autosklearn,7,,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:14:27,29243.3,,1072379227,Error: None,,,
openml.org/t/189356,Albert,autosklearn,5,0.747412,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:15:17,28837.2,7,1072379225,,0.679687,0.747412,
openml.org/t/189356,Albert,autosklearn,8,0.755012,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:15:38,28855.2,4,1072379228,,0.685683,0.755012,
openml.org/t/189356,Albert,autosklearn,3,0.748616,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:20:56,29143.7,11,1072379223,,0.681121,0.748616,
openml.org/t/189356,Albert,autosklearn,2,,aws,0.5.1,{'_n_jobs': 4},stable,2019-04-18T18:05:13,18075.2,,1072379222,Exception: Aborting instance i-0015ef422633d6de0 for job aws_large-8c4h_Albert_2_autosklearn.,,,
openml.org/t/189356,Albert,autosklearn,6,,aws,0.5.1,{'_n_jobs': 4},stable,2019-04-18T19:55:36,24677.8,,1072379226,Exception: Aborting instance i-0f73ff30c4795a35d for job aws_large-8c4h_Albert_6_autosklearn.,,,
openml.org/t/189354,Airlines,autosklearn,7,0.72073,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:09:53,28830.5,8,788461471,,0.668193,0.72073,
openml.org/t/189354,Airlines,autosklearn,0,0.728792,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:10:08,28861.0,13,788461464,,0.670758,0.728792,
openml.org/t/189354,Airlines,autosklearn,2,0.723234,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:10:33,28887.5,9,788461466,,0.668922,0.723234,
openml.org/t/189354,Airlines,autosklearn,9,0.728368,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:10:39,28828.2,8,788461473,,0.675275,0.728368,
openml.org/t/189354,Airlines,autosklearn,3,0.725435,aws.docker,0.5.1,{'_n_jobs': 4},stable,2019-04-18T21:09:50,28829.2,12,788461467,,0.668861,0.725435,
