id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/7592,adult,autosklearn,0,0.931946,aws.docker,0.5.1,,stable,2019-04-15T22:41:59,14399.0,8,1255626257,,0.871443,0.931946,
openml.org/t/7592,adult,autosklearn,1,0.929193,aws.docker,0.5.1,,stable,2019-04-15T22:42:04,14398.9,5,1255626258,,0.863255,0.929193,
openml.org/t/7592,adult,autosklearn,5,0.923249,aws.docker,0.5.1,,stable,2019-04-15T22:42:28,14398.0,7,1255626262,,0.871212,0.923249,
openml.org/t/7592,adult,autosklearn,6,0.930589,aws.docker,0.5.1,,stable,2019-04-15T22:42:28,14398.8,8,1255626263,,0.861998,0.930589,
openml.org/t/7592,adult,autosklearn,8,0.938863,aws.docker,0.5.1,,stable,2019-04-15T22:42:43,14397.9,7,1255626265,,0.878788,0.938863,
openml.org/t/7592,adult,autosklearn,9,0.932597,aws.docker,0.5.1,,stable,2019-04-15T22:42:46,14396.7,8,1255626266,,0.878583,0.932597,
openml.org/t/7592,adult,autosklearn,3,0.923451,aws.docker,0.5.1,,stable,2019-04-15T22:42:23,14398.3,12,1255626260,,0.859132,0.923451,
openml.org/t/7592,adult,autosklearn,4,0.925392,aws.docker,0.5.1,,stable,2019-04-15T22:42:54,14397.6,10,1255626261,,0.852785,0.925392,
openml.org/t/7592,adult,autosklearn,7,0.9323,aws.docker,0.5.1,,stable,2019-04-15T22:42:40,14399.0,3,1255626264,,0.84398,0.9323,
openml.org/t/7592,adult,autosklearn,2,0.930196,aws.docker,0.5.1,{'_attempt': 2},stable,2019-04-25T00:45:36,14398.1,11,2750633290,,0.872441,0.930196,
openml.org/t/34539,Amazon_employee_access,autosklearn,1,0.847994,aws.docker,0.5.1,,stable,2019-04-15T22:42:53,14399.1,13,1255626258,,0.95087,0.847994,
openml.org/t/34539,Amazon_employee_access,autosklearn,5,0.846657,aws.docker,0.5.1,,stable,2019-04-15T22:43:10,14397.4,13,1255626262,,0.947818,0.846657,
openml.org/t/34539,Amazon_employee_access,autosklearn,0,0.872546,aws.docker,0.5.1,,stable,2019-04-15T22:43:33,14399.3,10,1255626257,,0.949039,0.872546,
openml.org/t/34539,Amazon_employee_access,autosklearn,3,0.850703,aws.docker,0.5.1,,stable,2019-04-15T22:43:02,14399.3,11,1255626260,,0.949344,0.850703,
openml.org/t/34539,Amazon_employee_access,autosklearn,4,0.867645,aws.docker,0.5.1,,stable,2019-04-15T22:43:29,14397.5,8,1255626261,,0.955447,0.867645,
openml.org/t/34539,Amazon_employee_access,autosklearn,7,0.815542,aws.docker,0.5.1,,stable,2019-04-15T22:43:23,14399.9,12,1255626264,,0.948734,0.815542,
openml.org/t/34539,Amazon_employee_access,autosklearn,9,0.863745,aws.docker,0.5.1,,stable,2019-04-15T22:43:45,14398.8,8,1255626266,,0.887057,0.863745,
openml.org/t/34539,Amazon_employee_access,autosklearn,6,0.83874,aws.docker,0.5.1,,stable,2019-04-15T22:47:07,14397.6,9,1255626263,,0.953311,0.83874,
openml.org/t/34539,Amazon_employee_access,autosklearn,2,0.83335,aws.docker,0.5.1,{'_attempt': 2},stable,2019-04-25T00:45:45,14398.9,13,2750633290,,0.947513,0.83335,
openml.org/t/34539,Amazon_employee_access,autosklearn,8,0.857051,aws.docker,0.5.1,{'_attempt': 2},stable,2019-04-25T13:12:29,14398.0,11,2262072737,,0.952701,0.857051,
openml.org/t/168868,APSFailure,autosklearn,0,0.991425,aws.docker,0.5.1,,stable,2019-04-16T02:46:29,14396.3,5,1255626257,,0.993816,0.991425,
openml.org/t/168868,APSFailure,autosklearn,2,0.995346,aws.docker,0.5.1,,stable,2019-04-16T02:46:43,14395.8,6,1255626259,,0.993421,0.995346,
openml.org/t/168868,APSFailure,autosklearn,3,0.987922,aws.docker,0.5.1,,stable,2019-04-16T02:47:09,14396.4,10,1255626260,,0.994605,0.987922,
openml.org/t/168868,APSFailure,autosklearn,4,0.99241,aws.docker,0.5.1,,stable,2019-04-16T02:47:01,14395.9,9,1255626261,,0.994079,0.99241,
openml.org/t/168868,APSFailure,autosklearn,5,0.992751,aws.docker,0.5.1,,stable,2019-04-16T02:47:07,14396.8,6,1255626262,,0.993158,0.992751,
openml.org/t/168868,APSFailure,autosklearn,6,0.992707,aws.docker,0.5.1,,stable,2019-04-16T02:47:19,14396.6,9,1255626263,,0.995,0.992707,
openml.org/t/168868,APSFailure,autosklearn,7,0.993456,aws.docker,0.5.1,,stable,2019-04-16T02:47:12,14396.2,5,1255626264,,0.995,0.993456,
openml.org/t/168868,APSFailure,autosklearn,1,0.988504,aws.docker,0.5.1,,stable,2019-04-16T02:46:57,14396.7,12,1255626258,,0.992237,0.988504,
openml.org/t/168868,APSFailure,autosklearn,8,0.989623,aws.docker,0.5.1,,stable,2019-04-16T02:47:37,14396.9,15,1255626265,,0.993947,0.989623,
openml.org/t/168868,APSFailure,autosklearn,9,0.991016,aws.docker,0.5.1,,stable,2019-04-16T02:47:49,14396.8,13,1255626266,,0.994342,0.991016,
openml.org/t/14965,bank-marketing,autosklearn,3,0.93509,aws.docker,0.5.1,,stable,2019-04-16T02:47:41,14398.1,7,1255626260,,0.89029,0.93509,
openml.org/t/14965,bank-marketing,autosklearn,6,0.923472,aws.docker,0.5.1,,stable,2019-04-16T02:48:02,14397.8,9,1255626263,,0.884981,0.923472,
openml.org/t/14965,bank-marketing,autosklearn,1,0.934907,aws.docker,0.5.1,,stable,2019-04-16T02:47:22,14398.4,15,1255626258,,0.898474,0.934907,
openml.org/t/14965,bank-marketing,autosklearn,2,0.943288,aws.docker,0.5.1,,stable,2019-04-16T02:47:49,14399.5,16,1255626259,,0.909091,0.943288,
openml.org/t/14965,bank-marketing,autosklearn,5,0.929701,aws.docker,0.5.1,,stable,2019-04-16T02:48:01,14398.6,11,1255626262,,0.900686,0.929701,
openml.org/t/14965,bank-marketing,autosklearn,4,0.93912,aws.docker,0.5.1,,stable,2019-04-16T02:47:59,14398.0,12,1255626261,,0.886751,0.93912,
openml.org/t/14965,bank-marketing,autosklearn,8,0.937734,aws.docker,0.5.1,,stable,2019-04-16T02:48:20,14397.1,10,1255626265,,0.907985,0.937734,
openml.org/t/14965,bank-marketing,autosklearn,9,0.945423,aws.docker,0.5.1,,stable,2019-04-16T02:51:05,14396.6,7,1255626266,,0.908427,0.945423,
openml.org/t/14965,bank-marketing,autosklearn,0,0.936729,aws.docker,0.5.1,{'_attempt': 2},stable,2019-04-25T00:49:09,14398.9,10,1928618631,,0.908226,0.936729,
openml.org/t/14965,bank-marketing,autosklearn,7,0.943455,aws.docker,0.5.1,{'_attempt': 2},stable,2019-04-25T00:49:27,14399.0,12,1928618638,,0.911082,0.943455,
openml.org/t/146195,connect-4,autosklearn,0,0.386282,aws.docker,0.5.1,,stable,2019-04-16T06:50:54,14402.9,6,1255626257,,0.849763,,0.386282
openml.org/t/146195,connect-4,autosklearn,1,0.373451,aws.docker,0.5.1,,stable,2019-04-16T06:50:44,14399.6,16,1255626258,,0.849171,,0.373451
openml.org/t/146195,connect-4,autosklearn,9,0.378937,aws.docker,0.5.1,,stable,2019-04-16T06:51:46,14401.9,5,1255626266,,0.851073,,0.378937
openml.org/t/146195,connect-4,autosklearn,2,0.380119,aws.docker,0.5.1,,stable,2019-04-16T06:51:18,14403.2,3,1255626259,,0.849467,,0.380119
openml.org/t/146195,connect-4,autosklearn,5,0.394712,aws.docker,0.5.1,,stable,2019-04-16T06:51:17,14399.4,5,1255626262,,0.845471,,0.394712
