id,task,framework,fold,result,mode,version,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/125920,dresses-sales,constantpredictor_enc,0,0.5,local,0.19.2,stable,2019-02-20T18:09:09,0.0,1,882535093,,0.58,0.5,
openml.org/t/125920,dresses-sales,constantpredictor_enc,1,0.5,local,0.19.2,stable,2019-02-20T18:09:09,0.0,1,882535093,,0.58,0.5,
openml.org/t/125920,dresses-sales,constantpredictor_enc,2,0.5,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.58,0.5,
openml.org/t/125920,dresses-sales,constantpredictor_enc,3,0.5,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.58,0.5,
openml.org/t/125920,dresses-sales,constantpredictor_enc,4,0.5,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.58,0.5,
openml.org/t/125920,dresses-sales,constantpredictor_enc,5,0.5,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.58,0.5,
openml.org/t/125920,dresses-sales,constantpredictor_enc,6,0.5,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.58,0.5,
openml.org/t/125920,dresses-sales,constantpredictor_enc,7,0.5,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.58,0.5,
openml.org/t/125920,dresses-sales,constantpredictor_enc,8,0.5,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.58,0.5,
openml.org/t/125920,dresses-sales,constantpredictor_enc,9,0.5,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.58,0.5,
openml.org/t/2079,eucalyptus,constantpredictor_enc,0,1.57384,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.283784,,1.57384
openml.org/t/2079,eucalyptus,constantpredictor_enc,1,1.57384,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.283784,,1.57384
openml.org/t/2079,eucalyptus,constantpredictor_enc,2,1.56423,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.297297,,1.56423
openml.org/t/2079,eucalyptus,constantpredictor_enc,3,1.56423,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.297297,,1.56423
openml.org/t/2079,eucalyptus,constantpredictor_enc,4,1.56423,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.297297,,1.56423
openml.org/t/2079,eucalyptus,constantpredictor_enc,5,1.56423,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.297297,,1.56423
openml.org/t/2079,eucalyptus,constantpredictor_enc,6,1.56872,local,0.19.2,stable,2019-02-20T18:09:10,0.0,1,882535093,,0.287671,,1.56872
openml.org/t/2079,eucalyptus,constantpredictor_enc,7,1.56904,local,0.19.2,stable,2019-02-20T18:09:11,0.0,1,882535093,,0.287671,,1.56904
openml.org/t/2079,eucalyptus,constantpredictor_enc,8,1.56904,local,0.19.2,stable,2019-02-20T18:09:11,0.0,1,882535093,,0.287671,,1.56904
openml.org/t/2079,eucalyptus,constantpredictor_enc,9,1.56904,local,0.19.2,stable,2019-02-20T18:09:11,0.0,1,882535093,,0.287671,,1.56904
openml.org/t/167125,internet-advertisements,constantpredictor_enc,0,0.5,local,0.19.2,stable,2019-02-20T18:09:48,0.0,1,882535093,,0.859756,0.5,
openml.org/t/167125,internet-advertisements,constantpredictor_enc,1,0.5,local,0.19.2,stable,2019-02-20T18:10:27,0.0,1,882535093,,0.859756,0.5,
openml.org/t/167125,internet-advertisements,constantpredictor_enc,2,0.5,local,0.19.2,stable,2019-02-20T18:11:06,0.0,1,882535093,,0.859756,0.5,
openml.org/t/167125,internet-advertisements,constantpredictor_enc,3,0.5,local,0.19.2,stable,2019-02-20T18:11:44,0.0,1,882535093,,0.859756,0.5,
openml.org/t/167125,internet-advertisements,constantpredictor_enc,4,0.5,local,0.19.2,stable,2019-02-20T18:12:22,0.0,1,882535093,,0.859756,0.5,
openml.org/t/167125,internet-advertisements,constantpredictor_enc,5,0.5,local,0.19.2,stable,2019-02-20T18:13:03,0.0,1,882535093,,0.859756,0.5,
openml.org/t/167125,internet-advertisements,constantpredictor_enc,6,0.5,local,0.19.2,stable,2019-02-20T18:13:42,0.0,1,882535093,,0.859756,0.5,
openml.org/t/167125,internet-advertisements,constantpredictor_enc,7,0.5,local,0.19.2,stable,2019-02-20T18:14:21,0.0,1,882535093,,0.859756,0.5,
openml.org/t/167125,internet-advertisements,constantpredictor_enc,8,0.5,local,0.19.2,stable,2019-02-20T18:14:58,0.0,1,882535093,,0.859756,0.5,
openml.org/t/167125,internet-advertisements,constantpredictor_enc,9,0.5,local,0.19.2,stable,2019-02-20T18:15:37,0.0,1,882535093,,0.862385,0.5,
openml.org/t/9910,bioresponse,constantpredictor_enc,0,0.5,local,0.19.2,stable,2019-02-20T18:15:47,0.0,1,882535093,,0.542553,0.5,
openml.org/t/9910,bioresponse,constantpredictor_enc,1,0.5,local,0.19.2,stable,2019-02-20T18:15:57,0.0,1,882535093,,0.541333,0.5,
openml.org/t/9910,bioresponse,constantpredictor_enc,2,0.5,local,0.19.2,stable,2019-02-20T18:16:07,0.0,1,882535093,,0.541333,0.5,
openml.org/t/9910,bioresponse,constantpredictor_enc,3,0.5,local,0.19.2,stable,2019-02-20T18:16:17,0.0,1,882535093,,0.541333,0.5,
openml.org/t/9910,bioresponse,constantpredictor_enc,4,0.5,local,0.19.2,stable,2019-02-20T18:16:27,0.0,1,882535093,,0.541333,0.5,
openml.org/t/9910,bioresponse,constantpredictor_enc,5,0.5,local,0.19.2,stable,2019-02-20T18:16:36,0.0,1,882535093,,0.541333,0.5,
openml.org/t/9910,bioresponse,constantpredictor_enc,6,0.5,local,0.19.2,stable,2019-02-20T18:16:46,0.0,1,882535093,,0.541333,0.5,
openml.org/t/9910,bioresponse,constantpredictor_enc,7,0.5,local,0.19.2,stable,2019-02-20T18:16:55,0.0,1,882535093,,0.544,0.5,
openml.org/t/9910,bioresponse,constantpredictor_enc,8,0.5,local,0.19.2,stable,2019-02-20T18:17:05,0.0,1,882535093,,0.544,0.5,
openml.org/t/9910,bioresponse,constantpredictor_enc,9,0.5,local,0.19.2,stable,2019-02-20T18:17:14,0.0,1,882535093,,0.544,0.5,
openml.org/t/9950,micro-mass,constantpredictor_enc,0,2.91733,local,0.19.2,stable,2019-02-20T18:17:16,0.0,1,882535093,,0.103448,,2.91733
openml.org/t/9950,micro-mass,constantpredictor_enc,1,2.90634,local,0.19.2,stable,2019-02-20T18:17:17,0.0,1,882535093,,0.105263,,2.90634
openml.org/t/9950,micro-mass,constantpredictor_enc,2,2.90931,local,0.19.2,stable,2019-02-20T18:17:18,0.0,1,882535093,,0.105263,,2.90931
openml.org/t/9950,micro-mass,constantpredictor_enc,3,2.89533,local,0.19.2,stable,2019-02-20T18:17:19,0.0,1,882535093,,0.105263,,2.89533
openml.org/t/9950,micro-mass,constantpredictor_enc,4,2.89613,local,0.19.2,stable,2019-02-20T18:17:21,0.0,1,882535093,,0.105263,,2.89613
openml.org/t/9950,micro-mass,constantpredictor_enc,5,2.91384,local,0.19.2,stable,2019-02-20T18:17:22,0.0,1,882535093,,0.105263,,2.91384
openml.org/t/9950,micro-mass,constantpredictor_enc,6,2.91144,local,0.19.2,stable,2019-02-20T18:17:23,0.0,1,882535093,,0.105263,,2.91144
openml.org/t/9950,micro-mass,constantpredictor_enc,7,2.94349,local,0.19.2,stable,2019-02-20T18:17:24,0.0,1,882535093,,0.105263,,2.94349
openml.org/t/9950,micro-mass,constantpredictor_enc,8,2.92767,local,0.19.2,stable,2019-02-20T18:17:25,0.0,1,882535093,,0.105263,,2.92767
openml.org/t/9950,micro-mass,constantpredictor_enc,9,2.91615,local,0.19.2,stable,2019-02-20T18:17:26,0.0,1,882535093,,0.105263,,2.91615
openml.org/t/3,kr-vs-kp,constantpredictor_enc,0,0.5,local,0.19.2,stable,2019-02-20T18:17:30,0.0,1,1990569628,,0.521875,0.5,0.69219
openml.org/t/3,kr-vs-kp,constantpredictor_enc,1,0.5,local,0.19.2,stable,2019-02-20T18:17:31,0.0,1,1990569628,,0.521875,0.5,0.69219
openml.org/t/3,kr-vs-kp,constantpredictor_enc,2,0.5,local,0.19.2,stable,2019-02-20T18:17:32,0.0,1,1990569628,,0.521875,0.5,0.69219
openml.org/t/3,kr-vs-kp,constantpredictor_enc,3,0.5,local,0.19.2,stable,2019-02-20T18:17:33,0.0,1,1990569628,,0.521875,0.5,0.69219
openml.org/t/3,kr-vs-kp,constantpredictor_enc,4,0.5,local,0.19.2,stable,2019-02-20T18:17:34,0.0,1,1990569628,,0.521875,0.5,0.69219
openml.org/t/3,kr-vs-kp,constantpredictor_enc,5,0.5,local,0.19.2,stable,2019-02-20T18:17:35,0.0,1,1990569628,,0.521875,0.5,0.69219
openml.org/t/3,kr-vs-kp,constantpredictor_enc,6,0.5,local,0.19.2,stable,2019-02-20T18:17:36,0.0,1,1990569628,,0.520376,0.5,0.692325
openml.org/t/3,kr-vs-kp,constantpredictor_enc,7,0.5,local,0.19.2,stable,2019-02-20T18:17:37,0.0,1,1990569628,,0.523511,0.5,0.692045
openml.org/t/3,kr-vs-kp,constantpredictor_enc,8,0.5,local,0.19.2,stable,2019-02-20T18:17:38,0.0,1,1990569628,,0.523511,0.5,0.692045
openml.org/t/3,kr-vs-kp,constantpredictor_enc,9,0.5,local,0.19.2,stable,2019-02-20T18:17:39,0.0,1,1990569628,,0.523511,0.5,0.692045
openml.org/t/168760,fabert,constantpredictor_enc,0,1.87425,local,0.19.2,stable,2019-02-20T18:18:00,0.0,1,1255616364,,0.234223,,1.87425
openml.org/t/168760,fabert,constantpredictor_enc,1,1.87425,local,0.19.2,stable,2019-02-20T18:18:30,0.0,1,1255616364,,0.234223,,1.87425
openml.org/t/168760,fabert,constantpredictor_enc,2,1.87425,local,0.19.2,stable,2019-02-20T18:18:59,0.0,1,1255616364,,0.234223,,1.87425
openml.org/t/168760,fabert,constantpredictor_enc,3,1.87464,local,0.19.2,stable,2019-02-20T18:19:27,0.0,1,1255616364,,0.23301,,1.87464
openml.org/t/168760,fabert,constantpredictor_enc,4,1.87464,local,0.19.2,stable,2019-02-20T18:19:57,0.0,1,1255616364,,0.23301,,1.87464
openml.org/t/168760,fabert,constantpredictor_enc,5,1.87602,local,0.19.2,stable,2019-02-20T18:20:26,0.0,1,1255616364,,0.23301,,1.87602
openml.org/t/168760,fabert,constantpredictor_enc,6,1.8756,local,0.19.2,stable,2019-02-20T18:20:56,0.0,1,1255616364,,0.234223,,1.8756
openml.org/t/168760,fabert,constantpredictor_enc,7,1.87447,local,0.19.2,stable,2019-02-20T18:21:26,0.0,1,1255616364,,0.234508,,1.87447
openml.org/t/168760,fabert,constantpredictor_enc,8,1.87447,local,0.19.2,stable,2019-02-20T18:21:54,0.0,1,1255616364,,0.234508,,1.87447
openml.org/t/168760,fabert,constantpredictor_enc,9,1.87447,local,0.19.2,stable,2019-02-20T18:22:22,0.0,1,1255616364,,0.234508,,1.87447
openml.org/t/168764,jasmine,constantpredictor_enc,0,0.5,local,0.19.2,stable,2019-02-20T18:22:25,0.0,1,1255616364,,0.498328,0.5,0.693148
openml.org/t/168764,jasmine,constantpredictor_enc,1,0.5,local,0.19.2,stable,2019-02-20T18:22:30,0.0,1,1255616364,,0.498328,0.5,0.693148
openml.org/t/168764,jasmine,constantpredictor_enc,2,0.5,local,0.19.2,stable,2019-02-20T18:22:35,0.0,1,1255616364,,0.498328,0.5,0.693148
openml.org/t/168764,jasmine,constantpredictor_enc,3,0.5,local,0.19.2,stable,2019-02-20T18:22:39,0.0,1,1255616364,,0.498328,0.5,0.693148
openml.org/t/168764,jasmine,constantpredictor_enc,4,0.5,local,0.19.2,stable,2019-02-20T18:22:44,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168764,jasmine,constantpredictor_enc,5,0.5,local,0.19.2,stable,2019-02-20T18:22:48,0.0,1,1255616364,,0.5,0.5,0.693147
