id,task,framework,fold,result,mode,version,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/3,kr-vs-kp,constantpredictor_enc,0,0.5,local,0.19.2,stable,2019-02-20T18:17:30,0.0,1,1990569628,,0.521875,0.5,0.69219
openml.org/t/3,kr-vs-kp,constantpredictor_enc,1,0.5,local,0.19.2,stable,2019-02-20T18:17:31,0.0,1,1990569628,,0.521875,0.5,0.69219
openml.org/t/3,kr-vs-kp,constantpredictor_enc,2,0.5,local,0.19.2,stable,2019-02-20T18:17:32,0.0,1,1990569628,,0.521875,0.5,0.69219
openml.org/t/3,kr-vs-kp,constantpredictor_enc,3,0.5,local,0.19.2,stable,2019-02-20T18:17:33,0.0,1,1990569628,,0.521875,0.5,0.69219
openml.org/t/3,kr-vs-kp,constantpredictor_enc,4,0.5,local,0.19.2,stable,2019-02-20T18:17:34,0.0,1,1990569628,,0.521875,0.5,0.69219
openml.org/t/3,kr-vs-kp,constantpredictor_enc,5,0.5,local,0.19.2,stable,2019-02-20T18:17:35,0.0,1,1990569628,,0.521875,0.5,0.69219
openml.org/t/3,kr-vs-kp,constantpredictor_enc,6,0.5,local,0.19.2,stable,2019-02-20T18:17:36,0.0,1,1990569628,,0.520376,0.5,0.692325
openml.org/t/3,kr-vs-kp,constantpredictor_enc,7,0.5,local,0.19.2,stable,2019-02-20T18:17:37,0.0,1,1990569628,,0.523511,0.5,0.692045
openml.org/t/3,kr-vs-kp,constantpredictor_enc,8,0.5,local,0.19.2,stable,2019-02-20T18:17:38,0.0,1,1990569628,,0.523511,0.5,0.692045
openml.org/t/3,kr-vs-kp,constantpredictor_enc,9,0.5,local,0.19.2,stable,2019-02-20T18:17:39,0.0,1,1990569628,,0.523511,0.5,0.692045
openml.org/t/168760,fabert,constantpredictor_enc,0,1.87425,local,0.19.2,stable,2019-02-20T18:18:00,0.0,1,1255616364,,0.234223,,1.87425
openml.org/t/168760,fabert,constantpredictor_enc,1,1.87425,local,0.19.2,stable,2019-02-20T18:18:30,0.0,1,1255616364,,0.234223,,1.87425
openml.org/t/168760,fabert,constantpredictor_enc,2,1.87425,local,0.19.2,stable,2019-02-20T18:18:59,0.0,1,1255616364,,0.234223,,1.87425
openml.org/t/168760,fabert,constantpredictor_enc,3,1.87464,local,0.19.2,stable,2019-02-20T18:19:27,0.0,1,1255616364,,0.23301,,1.87464
openml.org/t/168760,fabert,constantpredictor_enc,4,1.87464,local,0.19.2,stable,2019-02-20T18:19:57,0.0,1,1255616364,,0.23301,,1.87464
openml.org/t/168760,fabert,constantpredictor_enc,5,1.87602,local,0.19.2,stable,2019-02-20T18:20:26,0.0,1,1255616364,,0.23301,,1.87602
openml.org/t/168760,fabert,constantpredictor_enc,6,1.8756,local,0.19.2,stable,2019-02-20T18:20:56,0.0,1,1255616364,,0.234223,,1.8756
openml.org/t/168760,fabert,constantpredictor_enc,7,1.87447,local,0.19.2,stable,2019-02-20T18:21:26,0.0,1,1255616364,,0.234508,,1.87447
openml.org/t/168760,fabert,constantpredictor_enc,8,1.87447,local,0.19.2,stable,2019-02-20T18:21:54,0.0,1,1255616364,,0.234508,,1.87447
openml.org/t/168760,fabert,constantpredictor_enc,9,1.87447,local,0.19.2,stable,2019-02-20T18:22:22,0.0,1,1255616364,,0.234508,,1.87447
openml.org/t/168764,jasmine,constantpredictor_enc,0,0.5,local,0.19.2,stable,2019-02-20T18:22:25,0.0,1,1255616364,,0.498328,0.5,0.693148
openml.org/t/168764,jasmine,constantpredictor_enc,1,0.5,local,0.19.2,stable,2019-02-20T18:22:30,0.0,1,1255616364,,0.498328,0.5,0.693148
openml.org/t/168764,jasmine,constantpredictor_enc,2,0.5,local,0.19.2,stable,2019-02-20T18:22:35,0.0,1,1255616364,,0.498328,0.5,0.693148
openml.org/t/168764,jasmine,constantpredictor_enc,3,0.5,local,0.19.2,stable,2019-02-20T18:22:39,0.0,1,1255616364,,0.498328,0.5,0.693148
openml.org/t/168764,jasmine,constantpredictor_enc,4,0.5,local,0.19.2,stable,2019-02-20T18:22:44,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168764,jasmine,constantpredictor_enc,5,0.5,local,0.19.2,stable,2019-02-20T18:22:48,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168764,jasmine,constantpredictor_enc,6,0.5,local,0.19.2,stable,2019-02-20T18:22:53,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168764,jasmine,constantpredictor_enc,7,0.5,local,0.19.2,stable,2019-02-20T18:22:58,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168764,jasmine,constantpredictor_enc,8,0.5,local,0.19.2,stable,2019-02-20T18:23:02,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168764,jasmine,constantpredictor_enc,9,0.5,local,0.19.2,stable,2019-02-20T18:23:07,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168765,christine,constantpredictor_enc,0,0.5,local,0.19.2,stable,2019-02-20T18:23:33,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168765,christine,constantpredictor_enc,1,0.5,local,0.19.2,stable,2019-02-20T18:24:17,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168765,christine,constantpredictor_enc,2,0.5,local,0.19.2,stable,2019-02-20T18:25:03,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168765,christine,constantpredictor_enc,3,0.5,local,0.19.2,stable,2019-02-20T18:25:48,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168765,christine,constantpredictor_enc,4,0.5,local,0.19.2,stable,2019-02-20T18:26:32,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168765,christine,constantpredictor_enc,5,0.5,local,0.19.2,stable,2019-02-20T18:27:16,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168765,christine,constantpredictor_enc,6,0.5,local,0.19.2,stable,2019-02-20T18:28:02,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168765,christine,constantpredictor_enc,7,0.5,local,0.19.2,stable,2019-02-20T18:28:48,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168765,christine,constantpredictor_enc,8,0.5,local,0.19.2,stable,2019-02-20T18:29:33,0.0,1,1255616364,,0.499076,0.5,0.693148
openml.org/t/168765,christine,constantpredictor_enc,9,0.5,local,0.19.2,stable,2019-02-20T18:30:19,0.0,1,1255616364,,0.499076,0.5,0.693148
openml.org/t/168761,sylvine,constantpredictor_enc,0,0.5,local,0.19.2,stable,2019-02-20T18:30:19,0.0,1,1255616364,,0.499025,0.5,0.693148
openml.org/t/168761,sylvine,constantpredictor_enc,1,0.5,local,0.19.2,stable,2019-02-20T18:30:20,0.0,1,1255616364,,0.499025,0.5,0.693148
openml.org/t/168761,sylvine,constantpredictor_enc,2,0.5,local,0.19.2,stable,2019-02-20T18:30:21,0.0,1,1255616364,,0.499025,0.5,0.693148
openml.org/t/168761,sylvine,constantpredictor_enc,3,0.5,local,0.19.2,stable,2019-02-20T18:30:21,0.0,1,1255616364,,0.499025,0.5,0.693148
openml.org/t/168761,sylvine,constantpredictor_enc,4,0.5,local,0.19.2,stable,2019-02-20T18:30:22,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168761,sylvine,constantpredictor_enc,5,0.5,local,0.19.2,stable,2019-02-20T18:30:23,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168761,sylvine,constantpredictor_enc,6,0.5,local,0.19.2,stable,2019-02-20T18:30:23,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168761,sylvine,constantpredictor_enc,7,0.5,local,0.19.2,stable,2019-02-20T18:30:24,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168761,sylvine,constantpredictor_enc,8,0.5,local,0.19.2,stable,2019-02-20T18:30:25,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168761,sylvine,constantpredictor_enc,9,0.5,local,0.19.2,stable,2019-02-20T18:30:25,0.0,1,1255616364,,0.5,0.5,0.693147
openml.org/t/168770,dilbert,constantpredictor_enc,0,1.60913,local,0.19.2,stable,2019-02-20T18:31:32,0.0,1,1255616364,,0.205,,1.60913
openml.org/t/168770,dilbert,constantpredictor_enc,1,1.60913,local,0.19.2,stable,2019-02-20T18:33:26,0.0,1,1255616364,,0.205,,1.60913
openml.org/t/168770,dilbert,constantpredictor_enc,2,1.60913,local,0.19.2,stable,2019-02-20T18:35:19,0.0,1,1255616364,,0.205,,1.60913
openml.org/t/168770,dilbert,constantpredictor_enc,3,1.60913,local,0.19.2,stable,2019-02-20T18:37:15,0.0,1,1255616364,,0.205,,1.60913
openml.org/t/168770,dilbert,constantpredictor_enc,4,1.60911,local,0.19.2,stable,2019-02-20T18:39:08,0.0,1,1255616364,,0.205,,1.60911
openml.org/t/168770,dilbert,constantpredictor_enc,5,1.60911,local,0.19.2,stable,2019-02-20T18:41:04,0.0,1,1255616364,,0.205,,1.60911
openml.org/t/168770,dilbert,constantpredictor_enc,6,1.60911,local,0.19.2,stable,2019-02-20T18:42:57,0.0,1,1255616364,,0.205,,1.60911
openml.org/t/168770,dilbert,constantpredictor_enc,7,1.60915,local,0.19.2,stable,2019-02-20T18:44:48,0.0,1,1255616364,,0.205,,1.60915
openml.org/t/168770,dilbert,constantpredictor_enc,8,1.60915,local,0.19.2,stable,2019-02-20T18:46:46,0.0,1,1255616364,,0.205,,1.60915
