id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss
openml.org/t/146818,Australian,autosklearn,0,0.960102,aws.docker,0.5.1,,stable,2019-04-12T19:41:14,3624.6,11,3310621363,,0.898551,0.960102,
openml.org/t/146818,Australian,autosklearn,1,0.89983,aws.docker,0.5.1,,stable,2019-04-12T19:41:02,3614.4,9,3310621364,,0.869565,0.89983,
openml.org/t/146818,Australian,autosklearn,2,0.898981,aws.docker,0.5.1,,stable,2019-04-12T19:41:06,3616.6,10,3310621365,,0.826087,0.898981,
openml.org/t/146818,Australian,autosklearn,3,0.94652,aws.docker,0.5.1,,stable,2019-04-12T19:41:08,3605.4,11,3310621366,,0.855072,0.94652,
openml.org/t/146818,Australian,autosklearn,4,0.94652,aws.docker,0.5.1,,stable,2019-04-12T19:41:23,3613.8,13,3310621367,,0.898551,0.94652,
openml.org/t/146818,Australian,autosklearn,5,0.970289,aws.docker,0.5.1,,stable,2019-04-12T19:41:32,3601.3,14,3310621368,,0.884058,0.970289,
openml.org/t/146818,Australian,autosklearn,6,0.925297,aws.docker,0.5.1,,stable,2019-04-12T19:41:32,3612.4,11,3310621369,,0.826087,0.925297,
openml.org/t/146818,Australian,autosklearn,7,0.933333,aws.docker,0.5.1,,stable,2019-04-12T19:41:38,3613.2,8,3310621370,,0.898551,0.933333,
openml.org/t/146818,Australian,autosklearn,8,0.933333,aws.docker,0.5.1,,stable,2019-04-12T19:41:37,3611.8,7,3310621371,,0.855072,0.933333,
openml.org/t/146818,Australian,autosklearn,9,0.939316,aws.docker,0.5.1,,stable,2019-04-12T19:41:58,3603.4,15,3310621372,,0.84058,0.939316,
openml.org/t/10101,blood-transfusion,autosklearn,1,0.838207,aws.docker,0.5.1,,stable,2019-04-12T19:42:25,3647.4,14,3310621364,,0.786667,0.838207,
openml.org/t/10101,blood-transfusion,autosklearn,2,0.710526,aws.docker,0.5.1,,stable,2019-04-12T19:42:26,3650.3,21,3310621365,,0.786667,0.710526,
openml.org/t/10101,blood-transfusion,autosklearn,3,0.739279,aws.docker,0.5.1,,stable,2019-04-12T19:42:36,3649.3,14,3310621366,,0.826667,0.739279,
openml.org/t/10101,blood-transfusion,autosklearn,4,0.795322,aws.docker,0.5.1,,stable,2019-04-12T19:42:44,3643.1,18,3310621367,,0.773333,0.795322,
openml.org/t/10101,blood-transfusion,autosklearn,5,0.730507,aws.docker,0.5.1,,stable,2019-04-12T19:42:27,3620.3,13,3310621368,,0.76,0.730507,
openml.org/t/10101,blood-transfusion,autosklearn,6,0.743177,aws.docker,0.5.1,,stable,2019-04-12T19:43:00,3650.3,9,3310621369,,0.8,0.743177,
openml.org/t/10101,blood-transfusion,autosklearn,7,0.767544,aws.docker,0.5.1,,stable,2019-04-12T19:42:48,3633.0,23,3310621370,,0.826667,0.767544,
openml.org/t/10101,blood-transfusion,autosklearn,8,0.71517,aws.docker,0.5.1,,stable,2019-04-12T19:42:43,3629.2,4,3310621371,,0.77027,0.71517,
openml.org/t/10101,blood-transfusion,autosklearn,9,0.770382,aws.docker,0.5.1,,stable,2019-04-12T19:43:00,3642.9,27,3310621372,,0.662162,0.770382,
openml.org/t/10101,blood-transfusion,autosklearn,0,0.763645,aws.docker,0.5.1,{'_attempt': 2},stable,2019-04-25T21:39:05,3633.5,8,189408138,,0.746667,0.763645,
openml.org/t/146821,car,autosklearn,0,0.00113497,aws.docker,0.5.1,,stable,2019-04-12T19:42:40,3621.2,1,3310621363,,1.0,,0.00113497
openml.org/t/146821,car,autosklearn,1,0.00221243,aws.docker,0.5.1,,stable,2019-04-12T19:42:38,3613.3,1,3310621364,,1.0,,0.00221243
openml.org/t/146821,car,autosklearn,2,0.0100689,aws.docker,0.5.1,,stable,2019-04-12T19:42:55,3628.1,1,3310621365,,0.99422,,0.0100689
openml.org/t/146821,car,autosklearn,4,0.00239413,aws.docker,0.5.1,,stable,2019-04-12T19:43:13,3617.5,1,3310621367,,1.0,,0.00239413
openml.org/t/146821,car,autosklearn,3,0.00857903,aws.docker,0.5.1,,stable,2019-04-12T19:42:56,3602.1,2,3310621366,,0.99422,,0.00857903
openml.org/t/146821,car,autosklearn,6,0.00191356,aws.docker,0.5.1,,stable,2019-04-12T19:42:58,3608.9,1,3310621369,,1.0,,0.00191356
openml.org/t/146821,car,autosklearn,7,0.00417197,aws.docker,0.5.1,,stable,2019-04-12T19:43:20,3618.0,1,3310621370,,1.0,,0.00417197
openml.org/t/146821,car,autosklearn,8,0.00268388,aws.docker,0.5.1,,stable,2019-04-12T19:43:19,3610.1,1,3310621371,,1.0,,0.00268388
openml.org/t/146821,car,autosklearn,9,0.0124252,aws.docker,0.5.1,,stable,2019-04-12T19:43:26,3607.4,2,3310621372,,0.994186,,0.0124252
openml.org/t/146821,car,autosklearn,5,0.0503944,aws.docker,0.5.1,{'_attempt': 2},stable,2019-04-25T21:40:32,3611.7,5,2060826814,,0.982659,,0.0503944
openml.org/t/168908,christine,autosklearn,0,0.846366,aws.docker,0.5.1,,stable,2019-04-12T19:44:10,3595.2,9,3310621363,,0.752768,0.846366,
openml.org/t/168908,christine,autosklearn,1,0.841669,aws.docker,0.5.1,,stable,2019-04-12T19:44:21,3596.1,9,3310621364,,0.778598,0.841669,
openml.org/t/168908,christine,autosklearn,2,0.835147,aws.docker,0.5.1,,stable,2019-04-12T19:44:13,3596.1,17,3310621365,,0.773063,0.835147,
openml.org/t/168908,christine,autosklearn,5,0.834398,aws.docker,0.5.1,,stable,2019-04-12T19:44:37,3597.1,10,3310621368,,0.774908,0.834398,
openml.org/t/168908,christine,autosklearn,4,0.816587,aws.docker,0.5.1,,stable,2019-04-12T19:44:23,3596.0,13,3310621367,,0.739852,0.816587,
openml.org/t/168908,christine,autosklearn,6,0.838905,aws.docker,0.5.1,,stable,2019-04-12T19:44:35,3595.6,12,3310621369,,0.773063,0.838905,
openml.org/t/168908,christine,autosklearn,7,0.827957,aws.docker,0.5.1,,stable,2019-04-12T19:44:44,3595.9,7,3310621370,,0.743542,0.827957,
openml.org/t/168908,christine,autosklearn,8,0.826186,aws.docker,0.5.1,,stable,2019-04-12T19:44:48,3595.9,10,3310621371,,0.750462,0.826186,
openml.org/t/168908,christine,autosklearn,9,0.80384,aws.docker,0.5.1,,stable,2019-04-12T19:44:50,3595.3,7,3310621372,,0.728281,0.80384,
