type,task,autosklearn,autoweka,constantpredictor,h2oautoml,oboe,randomforest,tpot,tunedrandomforest
binary,adult,1,6,7,3,nan,4,2,5
binary,amazon_employee_access,5 (1),6,7,1,nan,3,2,4
binary,apsfailure,3,6,7,1,nan,2,5 (1),4
binary,australian,3,6,8,1,7,2,5,4
binary,bank-marketing,1 (2),6,7,5,nan,3,2,4
binary,blood-transfusion,1 (1),3,8,2,7 (2),6,4 (1),5
binary,christine,1 (1),6,8,2,7,5,3,4
binary,credit-g,5,6,8,3,7 (2),2,4,1
binary,guiellermo,4 (1),5,7,1,nan,3,6,2
binary,higgs,5,6,7,1,nan,2,4,3
binary,jasmine,5,6,8,3,7,2,4,1
binary,kc1,1 (3),6,8,4,7 (8),5,3,2
binary,kddcup09_appetency,1,4 (6),7,2,nan,5,3 (2),6
binary,kr-vs-kp,2,7,8,1,6,5,3,4
binary,miniboone,2,6,7,1,nan,3,5 (1),4
binary,nomao,2,6,8,1,7,4,5,3
binary,numerai28.6,2 (1),4 (1),7,1,nan,6,3,5
binary,phoneme,5,6,8,2,7,4,1,3
binary,riccardo,2,nan,7,1,5,4,6,3
binary,sylvine,2,6,8,3,7,5,1,4
multiclass,car,3 (1),6 (1),8,2,7,5,1,4
multiclass,cnae-9,2,6 (2),8,1,7,5,3,4
multiclass,connect-4,3,6 (1),7,1,nan,5,2,4
multiclass,dilbert,2,8,7,1,6,4,3,5
multiclass,fabert,2,7,6,1,nan,4,5 (2),3
multiclass,fashion-mnist,2,6,7,1,nan,3,5 (4),4
multiclass,helena,3,7 (1),6,1 (5),nan,4,2 (1),5
multiclass,jannis,2,7 (1),6,1,nan,3,5 (1),4
multiclass,jungle_chess_2pcs_raw_endgame_complete,3 (1),7,6,2,nan,5,1,4
multiclass,mfeat-factors,1,6,8,2,7,5,3,4
multiclass,robert,4 (1),nan,5,1,nan,3,6 (2),2
multiclass,segment,3,6,8,1,7,5,2,4
multiclass,shuttle,3,5,6,1,nan,4,7,2
multiclass,vehicle,2 (1),7,6,1,8,5,3,4
multiclass,volkert,2,6,7,1,nan,4,5 (1),3
