acc,auc,constraint,duration,fold,framework,id,info,logloss,metric,mode,models,params,result,seed,tag,task,utc,version,type,metric_type,score
0.884058,1,test,598.2,0,mlr3automl,openml.org/t/146818,,0.224113,auc,local,,,1,1.82145e+08,stable,australian,2020-08-10T07:41:54,0.0.0.9000,binary,fit,1
0.773333,1,test,595.5,0,mlr3automl,openml.org/t/10101,,0.192286,auc,local,,,1,1.82145e+08,stable,blood-transfusion,2020-08-10T07:51:50,0.0.0.9000,binary,fit,1
,,test,15.8,0,mlr3automl,openml.org/t/146821,"CalledProcessError: Command 'Rscript --vanilla -e ""source('/home/a/automlbenchmark/frameworks/mlr3automl/exec.R'); run('/home/a/.openml/cache/org/openml/www/datasets/40975/dataset_train_0.arff', '/...",,logloss,local,,,,1.82145e+08,stable,car,2020-08-10T07:52:06,0.0.0.9000,multiclass,loss,
0.725092,1,test,807.4,0,mlr3automl,openml.org/t/168908,,0.402086,auc,local,,,1,1.82145e+08,stable,christine,2020-08-10T08:05:35,0.0.0.9000,binary,fit,1
,,test,137.2,0,mlr3automl,openml.org/t/9981,"CalledProcessError: Command 'Rscript --vanilla -e ""source('/home/a/automlbenchmark/frameworks/mlr3automl/exec.R'); run('/home/a/.openml/cache/org/openml/www/datasets/1468/dataset_train_0.arff', '/h...",,logloss,local,,,,1.82145e+08,stable,cnae-9,2020-08-10T08:07:52,0.0.0.9000,multiclass,loss,
,,test,13.1,0,mlr3automl,openml.org/t/31,"CalledProcessError: Command 'Rscript --vanilla -e ""source('/home/a/automlbenchmark/frameworks/mlr3automl/exec.R'); run('/home/a/.openml/cache/org/openml/www/datasets/31/dataset_train_0.arff', '/hom...",,auc,local,,,,1.82145e+08,stable,credit-g,2020-08-10T08:08:05,0.0.0.9000,binary,loss,
,,test,1415.5,0,mlr3automl,openml.org/t/168909,TimeoutError: Interrupting thread current after 1200s timeout.,,logloss,local,,,,1.82145e+08,stable,dilbert,2020-08-10T08:31:40,0.0.0.9000,multiclass,loss,
,,test,1211.1,0,mlr3automl,openml.org/t/168910,TimeoutError: Interrupting thread current after 1200s timeout.,,logloss,local,,,,1.82145e+08,stable,fabert,2020-08-10T08:51:51,0.0.0.9000,multiclass,loss,
,,test,37.5,0,mlr3automl,openml.org/t/168911,"CalledProcessError: Command 'Rscript --vanilla -e ""source('/home/a/automlbenchmark/frameworks/mlr3automl/exec.R'); run('/home/a/.openml/cache/org/openml/www/datasets/41143/dataset_train_0.arff', '/...",,auc,local,,,,1.82145e+08,stable,jasmine,2020-08-10T08:52:29,0.0.0.9000,binary,loss,
0.862559,1,test,594.9,0,mlr3automl,openml.org/t/3917,,0.13348,auc,local,,,1,1.82145e+08,stable,kc1,2020-08-10T09:02:24,0.0.0.9000,binary,fit,1
