type,task,mlr3automl,ranger
binary,adult,,
binary,airlines,,
binary,albert,,
binary,amazon_employee_access,,
binary,apsfailure,,
binary,australian,,
binary,bank-marketing,,
binary,blood-transfusion,,
binary,christine,,
binary,credit-g,,
binary,guillermo,,
binary,higgs,,
binary,jasmine,,
binary,kc1,,
binary,kddcup09_appetency,,
binary,kr-vs-kp,,
binary,miniboone,,
binary,nomao,,
binary,numerai28.6,,
binary,phoneme,,
binary,riccardo,,
binary,sylvine,,
multiclass,car,,
multiclass,cnae-9,,
multiclass,connect-4,,
multiclass,covertype,,
multiclass,dilbert,,
multiclass,dionis,,
multiclass,fabert,,
multiclass,fashion-mnist,,
multiclass,helena,,
multiclass,jannis,,
multiclass,jungle_chess_2pcs_raw_endgame_complete,,
multiclass,mfeat-factors,,
multiclass,robert,,
multiclass,segment,,
multiclass,shuttle,,
multiclass,vehicle,,
multiclass,volkert,,
