type,task,mlr3automl,ranger
binary,adult,2.0,1.0
binary,airlines,,
binary,albert,,
binary,amazon_employee_access,,1.0
binary,apsfailure,1.0,
binary,australian,1.0,2.0
binary,bank-marketing,1.0,2.0
binary,blood-transfusion,1.0,2.0
binary,christine,1.0,
binary,credit-g,,1.0
binary,guillermo,,
binary,higgs,,
binary,jasmine,,1.0
binary,kc1,1.0,2.0
binary,kddcup09_appetency,,1.0
binary,kr-vs-kp,,1.0
binary,miniboone,,
binary,nomao,1.0,2.0
binary,numerai28.6,1.0,2.0
binary,phoneme,1.0,2.0
binary,riccardo,,
binary,sylvine,1.0,
multiclass,car,,1.0
multiclass,cnae-9,,1.0
multiclass,connect-4,,1.0
multiclass,covertype,,1.0
multiclass,dilbert,,
multiclass,dionis,,
multiclass,fabert,,
multiclass,fashion-mnist,,1.0
multiclass,helena,,
multiclass,jannis,1.0,
multiclass,jungle_chess_2pcs_raw_endgame_complete,1.0,2.0
multiclass,mfeat-factors,1.0,2.0
multiclass,robert,,
multiclass,segment,,1.0
multiclass,shuttle,2.0,1.0
multiclass,vehicle,2.0,1.0
multiclass,volkert,,
