type,task,autosklearn,autoweka,constantpredictor,h2oautoml,oboe,randomforest,tpot,tunedrandomforest
binary,adult,1,3,7,6 (1),nan,5,2,4
binary,amazon_employee_access,nan,nan,3,nan,nan,1,nan,2
binary,apsfailure,nan,nan,4,1,nan,3,nan,2
binary,australian,6 (1),4,8,1,7 (3),2,5,3
binary,bank-marketing,nan,nan,4,1,nan,3,nan,2
binary,bioresponse,4,7,8,1,6,3,5,2
binary,blood-transfusion,2,3,8,1,7 (3),6,4,5
binary,christine,5,6,8,1,7,3,2,4
binary,credit-g,4,6,8,2,7 (1),3,5,1
binary,dresses-sales,2 (1),3,8,1,7,4,5,6
binary,guiellermo,nan,nan,4,3,nan,1,nan,2
binary,higgs,nan,nan,4,1,nan,3,nan,2
binary,internet-advertisements,5,6,8,4,7,2,3,1
binary,jasmine,5,6,8,3,7,1,4,2
binary,kc1,5 (3),4,7,nan,6,3,1,2
binary,kddcup09_appetency,nan,nan,3,nan,nan,1,nan,2
binary,kr-vs-kp,1,7,8,2,6,5,3,4
binary,miniboone,nan,nan,4,1,nan,2,nan,3
binary,nomao,3,6,8,1,7,5,2,4
binary,numerai28.6,nan,nan,4,1,nan,2,nan,3
binary,phoneme,5,6,8,1,7,2,4,3
binary,riccardo,nan,nan,4,3,nan,1,nan,2
binary,sylvine,1,6,8,3,7,5,2,4
multiclass,car,3,7,8,2,5,6,1,4
multiclass,cnae-9,5 (1),6,8,1,7,4,2,3
multiclass,connect-4,3,6,7,2,nan,5,1 (1),4
multiclass,dilbert,2,5,7,1,6,3,nan,4
multiclass,eucalyptus,5 (1),7,6,1,8,3,4,2
multiclass,fabert,4 (1),7,6,1,nan,3,5 (1),2
multiclass,fashion-mnist,nan,nan,4,1,nan,3,nan,2
multiclass,helena,nan,3 (1),1,2,nan,nan,nan,nan
multiclass,jannis,2,7,6,1,nan,4,5,3
multiclass,jungle_chess_2pcs_raw_endgame_complete,nan,nan,4,1,nan,3,nan,2
multiclass,mfeat-factors,2,6 (1),8,1,7,5,3,4
multiclass,micro-mass,2,7,6,3,8,5,1,4
multiclass,robert,nan,nan,3,nan,nan,2,nan,1
multiclass,segment,3,6,8,1,7,5,2,4
multiclass,shuttle,nan,nan,3,nan,nan,2,nan,1
multiclass,vehicle,5 (1),7,6,1,8 (2),4,2,3
multiclass,volkert,nan,nan,3,nan,nan,1,nan,2
