task,name,type,dataset,nrows,nfeatures,nclasses,class_imbalance
openml.org/t/168868,APSFailure,binary,openml.org/d/41138,76000,171,2,54.27272727272727
openml.org/t/146818,Australian,binary,openml.org/d/40981,690,15,2,1.2475570032573289
openml.org/t/9910,Bioresponse,binary,openml.org/d/4134,3751,1777,2,1.1846243447874198
openml.org/t/167125,Internet-Advertisements,binary,openml.org/d/40978,3279,1559,2,6.143790849673203
openml.org/t/34537,PhishingWebsites,binary,openml.org/d/4534,11055,31,2,1.2570436913025722
openml.org/t/10101,blood-transfusion-service-center,binary,openml.org/d/1464,748,5,2,3.202247191011236
openml.org/t/146821,car,multiclass,openml.org/d/40975,1728,7,4,18.615384615384617
openml.org/t/2295,cholesterol,regression,openml.org/d/204,303,14,0,
openml.org/t/168908,christine,binary,openml.org/d/41142,5418,1637,2,1.0
openml.org/t/9981,cnae-9,multiclass,openml.org/d/1468,1080,857,9,1.0
openml.org/t/31,credit-g,binary,openml.org/d/31,1000,21,2,2.3333333333333335
openml.org/t/168909,dilbert,multiclass,openml.org/d/41163,10000,2001,5,1.0710925248301097
openml.org/t/125920,dresses-sales,binary,openml.org/d/23381,500,13,2,1.3809523809523807
openml.org/t/2079,eucalyptus,multiclass,openml.org/d/188,736,20,5,2.0380952380952384
openml.org/t/168910,fabert,multiclass,openml.org/d/41164,8237,801,7,3.838645418326693
openml.org/t/59,iris,multiclass,openml.org/d/61,150,5,3,1.0
openml.org/t/168911,jasmine,binary,openml.org/d/41143,2984,145,2,1.0
openml.org/t/3917,kc1,binary,openml.org/d/1067,2109,22,2,5.469325153374233
openml.org/t/3913,kc2,binary,openml.org/d/1063,522,22,2,3.878504672897196
openml.org/t/3,kr-vs-kp,binary,openml.org/d/3,3196,37,2,1.0929927963326784
openml.org/t/12,mfeat-factors,multiclass,openml.org/d/12,2000,217,10,1.0
openml.org/t/9950,micro-mass,multiclass,openml.org/d/1515,571,1301,20,5.454545454545454
openml.org/t/9952,phoneme,binary,openml.org/d/1489,5404,6,2,2.4073139974779316
openml.org/t/146822,segment,multiclass,openml.org/d/40984,2310,20,7,1.0
openml.org/t/168912,sylvine,binary,openml.org/d/41146,5124,21,2,1.0
openml.org/t/53,vehicle,multiclass,openml.org/d/54,846,19,4,1.0954773869346732
